epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,353.313,0.79779,0.93873,1,0.18771,0.000237626,0.000237626,0.000237626
2,490.931,0.34628,0.94973,1,0.1372,0.000456792,0.000456792,0.000456792
3,626.475,0.31407,0.9509,1,0.13908,0.000657107,0.000657107,0.000657107
4,763.752,0.29668,0.95208,1,0.13737,0.000629177,0.000629177,0.000629177
5,899.376,0.2567,0.95483,1,0.12615,0.000600902,0.000600902,0.000600902
6,1047.56,0.2328,0.96544,1,0.10252,0.000572628,0.000572628,0.000572628
7,1190.15,0.20908,0.96072,1,0.10589,0.000544354,0.000544354,0.000544354
8,1337.29,0.1916,0.96779,1,0.09619,0.000516079,0.000516079,0.000516079
9,1481.14,0.17228,0.9564,1,0.11778,0.000487805,0.000487805,0.000487805
10,1622.24,0.17065,0.9674,1,0.09102,0.00045953,0.00045953,0.00045953
11,1768.68,0.14542,0.9729,1,0.0772,0.000431256,0.000431256,0.000431256
12,1919.42,0.14501,0.97054,1,0.07829,0.000402982,0.000402982,0.000402982
13,2075.47,0.12986,0.97054,1,0.08157,0.000374707,0.000374707,0.000374707
14,2220.21,0.12269,0.96661,1,0.09549,0.000346433,0.000346433,0.000346433
15,2379.79,0.12309,0.97447,1,0.07705,0.000318158,0.000318158,0.000318158
16,2523.01,0.1138,0.97526,1,0.07464,0.000289884,0.000289884,0.000289884
17,2664.48,0.10401,0.97565,1,0.06904,0.00026161,0.00026161,0.00026161
18,2809.51,0.10156,0.978,1,0.06067,0.000233335,0.000233335,0.000233335
19,2951.67,0.095,0.97565,1,0.06495,0.000205061,0.000205061,0.000205061
20,3090.25,0.09793,0.97761,1,0.06319,0.000176786,0.000176786,0.000176786
21,3216.74,0.08324,0.9784,1,0.06332,0.000148512,0.000148512,0.000148512
22,3335.08,0.0785,0.978,1,0.06229,0.000120238,0.000120238,0.000120238
23,3451.59,0.08038,0.97761,1,0.05906,9.19632e-05,9.19632e-05,9.19632e-05
24,3569.15,0.06649,0.9784,1,0.05793,6.36888e-05,6.36888e-05,6.36888e-05
25,3686.3,0.06058,0.97918,1,0.05866,3.54144e-05,3.54144e-05,3.54144e-05
